Year Written,Exam Source,Source Q #,New,Points,Question Type,Subject 1,Subject 2,Subject 3,Subject 4,Subject 5,Notes
2010,Quiz 0,0,NO,,Multiple Choice,,,,,,
2010,Quiz 0,1,NO,,Multiple Choice,loops,c,source code,standard output,debugging,
2010,Quiz 0,2,NO,,Multiple Choice,loops,c,source code,standard output,debugging,
2010,Quiz 0,3,NO,,Multiple Choice,loops,c,source code,standard output,debugging,
2010,Quiz 0,4,NO,,Multiple Choice,binary,searching,,,,
2010,Quiz 0,5,NO,,Multiple Choice,ascii,binary,,,,
2010,Quiz 0,6,NO,,True/False,,,,,,
2010,Quiz 0,7,NO,,True/False,bubble sort,sorting,big o,,,
2010,Quiz 0,8,NO,,True/False,dynamic memory allocation,stack,heap,,,
2010,Quiz 0,9,NO,,True/False,recursion,functions,,,,
2010,Quiz 0,10,NO,,True/False,,,,,,
2010,Quiz 0,11,NO,,Short Answer,binary,,,,,
2010,Quiz 0,12,NO,,Code,scratch,c,standard output,file i/o,,
2010,Quiz 0,13,NO,,Free Response,debugging,conditions,c,,,
2010,Quiz 0,14,NO,,Free Response,debugging,conditions,c,,,
2010,Quiz 0,15,NO,,Fill in Table,big o,algorithms,sorting,arrays,searching,
2010,Quiz 0,16,NO,,Fill in Table,types,casting,c,,,
2010,Quiz 0,17,NO,,Free Response,imprecision,debugging,c,standard output,,
2010,Quiz 0,18,NO,,Free Response,compiling,libraries,compiler,,,
2010,Quiz 0,19,NO,,Free Response,pseudocode,algorithms,,,,
2010,Quiz 0,20,NO,,Free Response,standard output,linux,c,,,
2010,Quiz 0,21,NO,,Free Response,binary,types,,,,
2010,Quiz 0,22,NO,,Free Response,debugging,stack,dynamic memory allocation,,,
2010,Quiz 0,23,NO,,Short Answer,file i/o,casting,libraries,c,source code,
2010,Quiz 0,24,NO,,Short Answer,file i/o,casting,libraries,c,source code,
2010,Quiz 0,25,NO,,Free Response,scope,debugging,dynamic memory allocation,functions,c,
2010,Quiz 0,26,NO,,Free Response,scope,pointers,types,debugging,c,
2010,Quiz 0,27,NO,,Free Response,pointers,types,debugging,c,,Requires 26
